date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:08	97163/97163	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145241-17b8b%22	http://paul-themes.com/html/simone/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/jquery-1.12.4.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:09	21257/21257	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145241-5309%22	http://paul-themes.com/html/simone/js/popper.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/popper.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:10	60010/60010	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145240-ea6a%22	http://paul-themes.com/html/simone/js/bootstrap.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/bootstrap.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:12	15209/15209	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145240-3b69%22	http://paul-themes.com/html/simone/js/jarallax.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/jarallax.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:13	23070/23070	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145241-5a1e%22	http://paul-themes.com/html/simone/js/jquery.validate.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/jquery.validate.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:16	962/962	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c2-ekNqUptqD1AEc5D0dUT6kSacGE0%22	https://unpkg.com/ionicons@5.1.2/dist/ionicons.js	C:/My%20Web%20Sites/ajay/unpkg.com/ionicons@5.1.2/dist/ionicons.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:17	2381/2381	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145241-94d%22	http://paul-themes.com/html/simone/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/jquery.ajaxchimp.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:19	14243/14243	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145240-37a3%22	http://paul-themes.com/html/simone/js/aos.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/aos.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:20	44342/44342	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145241-ad36%22	http://paul-themes.com/html/simone/js/owl.carousel.min.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/owl.carousel.min.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:21	5747/5747	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f145240-1673%22	http://paul-themes.com/html/simone/js/interface.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/js/interface.js	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:22	116693/116693	---M--	200	added ('OK')	image/jpeg	etag:%225f14523b-1c7d5%22	http://paul-themes.com/html/simone/img/news/370x434-1.jpg	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/img/news/370x434-1.jpg	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:23	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225f145237-26f1b%22	http://paul-themes.com/html/simone/css/bootstrap.min.css	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/css/bootstrap.min.css	(from http://paul-themes.com/html/simone/css/style.css)
17:09:23	26049/26049	---MCZ	200	added ('OK')	text/css	etag:W/%225f145237-65c1%22	http://paul-themes.com/html/simone/css/aos.css	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/css/aos.css	(from http://paul-themes.com/html/simone/css/style.css)
17:09:24	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225f145237-d17%22	http://paul-themes.com/html/simone/css/owl.carousel.min.css	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/css/owl.carousel.min.css	(from http://paul-themes.com/html/simone/css/style.css)
17:09:26	149497/149497	---M--	200	added ('OK')	image/jpeg	etag:%225f14523c-247f9%22	http://paul-themes.com/html/simone/img/news/370x434-2.jpg	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/img/news/370x434-2.jpg	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:27	18564/18564	---M--	200	added ('OK')	application/font-woff2	etag:%225f145238-4884%22	http://paul-themes.com/html/simone/fonts/swansea-webfont.woff2	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/fonts/swansea-webfont.woff2	(from http://paul-themes.com/html/simone/css/style.css)
17:09:28	23596/23596	---M--	200	added ('OK')	application/font-woff	etag:%225f145238-5c2c%22	http://paul-themes.com/html/simone/fonts/swansea-webfont.woff	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/fonts/swansea-webfont.woff	(from http://paul-themes.com/html/simone/css/style.css)
17:09:29	18856/18856	---M--	200	added ('OK')	application/font-woff2	etag:%225f145239-49a8%22	http://paul-themes.com/html/simone/fonts/swansea_bold-webfont.woff2	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/fonts/swansea_bold-webfont.woff2	(from http://paul-themes.com/html/simone/css/style.css)
17:09:30	24140/24140	---M--	200	added ('OK')	application/font-woff	etag:%225f145238-5e4c%22	http://paul-themes.com/html/simone/fonts/swansea_bold-webfont.woff	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/fonts/swansea_bold-webfont.woff	(from http://paul-themes.com/html/simone/css/style.css)
17:09:33	827990/827990	---M--	200	added ('OK')	image/jpeg	etag:%225f14523b-ca256%22	http://paul-themes.com/html/simone/img/bg/personal.jpg	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/img/bg/personal.jpg	(from http://paul-themes.com/html/simone/home-personal.html?storefront=envato-elements)
17:09:33	275/275	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2011:39:33%20GMT	http://paul-themes.com/html/simone/popper.js	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/popper.js	(from http://paul-themes.com/html/simone/js/bootstrap.min.js)
17:09:35	275/275	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2011:39:34%20GMT	http://paul-themes.com/html/simone/Trident/	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/Trident/index.html	(from http://paul-themes.com/html/simone/js/jarallax.min.js)
17:09:35	275/275	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2011:39:34%20GMT	http://paul-themes.com/html/simone/Edge/	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/Edge/index.html	(from http://paul-themes.com/html/simone/js/jarallax.min.js)
17:09:35	275/275	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2011:39:34%20GMT	http://paul-themes.com/html/simone/dist/	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/dist/index.html	(from http://paul-themes.com/html/simone/js/aos.js)
17:09:36	275/275	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2011:39:36%20GMT	http://paul-themes.com/html/simone/css/owl.video.play.png	C:/My%20Web%20Sites/ajay/paul-themes.com/html/simone/css/owl.video.play.29.delayed	(from http://paul-themes.com/html/simone/css/owl.carousel.min.css)
